experiment,epoch,train_loss,train_accuracy,val_loss,val_accuracy
E1,1,1.8601733229319255,0.30695555555555554,1.6408623481750488,0.4068
E1,2,1.5863296346876357,0.4166,1.5002549934387206,0.453
E1,3,1.4462173315260145,0.4719111111111111,1.4241315216064454,0.4878
E1,4,1.3539227007759942,0.5099777777777778,1.3143288314819337,0.5278
E1,5,1.28882236711714,0.5338222222222222,1.2675943710327149,0.5434
E1,6,1.2289987265480888,0.5601555555555555,1.2597606029510497,0.5466
E1,7,1.1804990078184339,0.5782888888888889,1.1555815048217772,0.5882
E1,8,1.1363752003563774,0.5971777777777778,1.150869895362854,0.588
E1,9,1.0990829518212213,0.6089111111111111,1.0954192111968994,0.6136
E1,10,1.0742941724777222,0.6183555555555555,1.0709647872924806,0.616
E1,11,1.0476825398339165,0.6296666666666667,1.0372270183563232,0.6312
E1,12,1.0154111750390795,0.6434444444444445,1.0607181589126586,0.626
E1,13,0.9950014167149862,0.6465777777777778,1.0123737336158753,0.643
E1,14,0.9753861447864108,0.6578222222222222,1.0939754135131836,0.625
E1,15,0.9545811392572191,0.6659777777777778,1.022915166091919,0.6428
E1,16,0.9403243329789903,0.6709111111111111,1.0213959720611572,0.6502
E1,17,0.9187633148511251,0.6782666666666667,0.9154014484405517,0.6748
E1,18,0.9029479799482557,0.6848222222222222,0.9827901866912842,0.6544
E1,19,0.8891207377327813,0.689,0.9536808029174805,0.6676
E1,20,0.8805089100837707,0.6926,0.9085934883117676,0.685
