experiment,epoch,train_loss,train_accuracy,val_loss,val_accuracy
E2,1,1.931440064133538,0.2680888888888889,1.683236329650879,0.3762
E2,2,1.6679868003845215,0.3701111111111111,1.5732889352798463,0.4282
E2,3,1.5669285794152155,0.42075555555555555,1.4585577592849732,0.4728
E2,4,1.4874132656733194,0.4516,1.362032035446167,0.5048
E2,5,1.4270227538850573,0.47913333333333336,1.3306470836639404,0.5168
E2,6,1.3806176382276747,0.4967111111111111,1.2659291517257691,0.5424
E2,7,1.3302510785632664,0.5188,1.2501487186431886,0.5546
E2,8,1.293381605635749,0.5361555555555556,1.2094389484405517,0.571
E2,9,1.2589476835886637,0.547,1.1508952438354492,0.591
E2,10,1.226996502134535,0.5578,1.1200233477592467,0.6032
E2,11,1.2028346177419027,0.5700666666666667,1.0962295174598693,0.6126
E2,12,1.176498968463474,0.5809555555555556,1.0854704069137573,0.6182
E2,13,1.1578357171800402,0.5879555555555556,1.0587297271728515,0.6246
E2,14,1.1442189482794867,0.5969333333333333,1.1182372543334962,0.6084
E2,15,1.1286413083394369,0.6028222222222223,1.031290150642395,0.6402
E2,16,1.106393464342753,0.6091111111111112,0.994106487941742,0.6464
E2,17,1.0893276545418633,0.6157333333333334,1.0043512105941772,0.652
E2,18,1.073390781487359,0.6226666666666667,0.9860264194488525,0.6556
E2,19,1.0681472357643975,0.6262888888888889,0.9605348924636841,0.6636
E2,20,1.0507299187660217,0.6281555555555556,0.9563418867111206,0.6626
