experiment,epoch,train_loss,train_accuracy,val_loss,val_accuracy
E3,1,0.3702761833720737,0.8801111111111111,0.1872170693680644,0.9384
E3,2,0.1430273583624098,0.9534888888888889,0.16100373020917177,0.9488
E3,3,0.08909688692622715,0.9710888888888889,0.14805418507996945,0.951
E3,4,0.06013937430911594,0.9806,0.1585684636956081,0.947
E3,5,0.04516507393254174,0.9859555555555556,0.14849151959456502,0.953
E3,6,0.03344191346830792,0.9897777777777778,0.17845244744420052,0.9462
E3,7,0.03327094780902068,0.9891555555555556,0.13766162214446812,0.9574
E3,8,0.02644149787657791,0.9918222222222223,0.17143980522453786,0.9482
E3,9,0.021922243879238766,0.9932888888888889,0.15284339669160546,0.9558
E3,10,0.025627797616852653,0.9918222222222223,0.18550389420986174,0.9486
E3,11,0.024575405051641994,0.9915333333333334,0.16012933462932705,0.9524
E3,12,0.01879884720047315,0.9939777777777777,0.1677004201430129,0.9522
